Date (yr)	Level  (mm)	 Error (mm)
1915.4583	-109.5	13.6
1915.5417	-112	13.6
1915.625	-112.8	13.6
1915.7083	-113.8	13.6
1915.7917	-113.6	13.6
1915.875	-108.1	13.6
1915.9583	-108.4	13.8
1916.0417	-102.1	13
1916.125	-104.7	13
1916.2083	-99.5	13
1916.2917	-102.5	13
1916.375	-101.2	12.9
1916.4583	-106.4	12.9
1916.5417	-110.1	12.9
1916.625	-114.3	12.9
1916.7083	-112	12.9
1916.7917	-110.1	13.1
1916.875	-102.2	13.1
1916.9583	-101.1	13.1
1917.0417	-101.2	13
1917.125	-107.5	12.8
1917.2083	-110.8	12.8
1917.2917	-114.3	12.8
1917.375	-113.5	12.8
1917.4583	-112.3	12.8
1917.5417	-108.5	12.8
1917.625	-109.1	12.8
1917.7083	-109.9	12.8
1917.7917	-111.5	12.8
1917.875	-112.1	12.8
1917.9583	-109.7	12.8
1918.0417	-108.1	12.7
1918.125	-111.9	12.7
1918.2083	-113.6	12.7
1918.2917	-115.5	12.7
1918.375	-113	12.7
1918.4583	-111.1	12.7
1918.5417	-110.5	12.7
1918.625	-112	12.7
1918.7083	-108.3	12.7
1918.7917	-110.4	12.7
1918.875	-110.2	12.7
1918.9583	-114.8	12.7
1919.0417	-116.5	12.6
1919.125	-118.3	12.6
1919.2083	-116.7	12.7
1919.2917	-113.8	12.7
1919.375	-111.1	12.7
1919.4583	-104.6	12.7
1919.5417	-105.4	12.7
1919.625	-101.9	12.7
1919.7083	-103.6	12.7
1919.7917	-106.9	12.6
1919.875	-108.3	12.6
1919.9583	-112.8	13
1920.0417	-113.3	13
1920.125	-115.3	13
1920.2083	-114.6	13
1920.2917	-110.5	13
1920.375	-105.8	13
1920.4583	-102	13
1920.5417	-101.6	13
1920.625	-104.4	13
1920.7083	-108	13
1920.7917	-109.2	13
1920.875	-110.6	13
1920.9583	-108.5	13.3
1921.0417	-108.4	13.1
1921.125	-105.3	13.1
1921.2083	-103.9	13.1
1921.2917	-102.5	13.1
1921.375	-100.5	13.1
1921.4583	-101.9	13.1
1921.5417	-103.5	13.1
1921.625	-109.7	13.1
1921.7083	-112.6	13.1
1921.7917	-111.5	13.1
1921.875	-112	13.1
1921.9583	-107.8	13.1
1922.0417	-109.4	13.1
1922.125	-105.1	13.1
1922.2083	-106.4	13.1
